#Annotated with Bakta v1.6.1, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	23	1609	+	DPFGDO_00005	59.7	11.3		SO:0001217, UniParc:UPI0009CDB323, UniRef:UniRef100_A0A486W242, UniRef:UniRef50_A0A486W242, UniRef:UniRef90_A0A486W242
contig_1	1578	1694	-	DPFGDO_00010	3.9	11.5		
contig_1	1736	2053	-	DPFGDO_00015	11.3	11.5		RefSeq:WP_012000837.1, SO:0001217, UniParc:UPI00015C63F7, UniRef:UniRef100_A0A7A6RD66, UniRef:UniRef50_A0A0E1CMW6, UniRef:UniRef90_A0A0E1CMW6
contig_1	2371	2475	-	DPFGDO_00020	3.8	9.1		
contig_1	2484	2684	-	DPFGDO_00025	7.3	9.0		
contig_1	2696	2851	+	DPFGDO_00030	5.8	12.0		
contig_1	4994	5281	-	DPFGDO_00055	10.4	11.6		
contig_1	5306	5407	+	DPFGDO_00060	4.1	7.0		
contig_1	5512	5739	+	DPFGDO_00065	8.3	9.4		SO:0001217, UniParc:UPI00015C63FA, UniRef:UniRef100_A0A0E1CMX0, UniRef:UniRef50_A0A0E1CMX0, UniRef:UniRef90_A0A0E1CMX0
contig_1	5756	5854	-	DPFGDO_00070	3.6	11.7		
contig_1	5851	5961	-	DPFGDO_00075	4.4	9.8		
contig_1	6412	6528	-	DPFGDO_00085	4.1	4.7		SO:0001217, UniRef:UniRef50_A0A064CXR9, UniRef:UniRef90_A0A064CXR9
contig_1	7785	8051	-	DPFGDO_00110	10.3	7.7		RefSeq:WP_020805352.1, SO:0001217, UniParc:UPI0003421E21, UniRef:UniRef100_A0A2P9E855, UniRef:UniRef50_A0A2P9E855, UniRef:UniRef90_A0A2P9E855
contig_1	8076	8741	+	DPFGDO_00115	25.2	10.5		SO:0001217, UniRef:UniRef50_J2DFK6, UniRef:UniRef90_J2DFK6
contig_1	8802	9059	+	DPFGDO_00120	10.0	12.0		
contig_1	9053	9268	-	DPFGDO_00125	7.7	5.6		SO:0001217, UniRef:UniRef50_UPI001F60DF70, UniRef:UniRef90_UPI0020238554
contig_2	203	397	-	DPFGDO_00130	7.1	12.0		SO:0001217, UniRef:UniRef50_UPI001D0E3BAE, UniRef:UniRef90_UPI001D0E3BAE
contig_2	671	790	-	DPFGDO_00135	4.6	6.8		SO:0001217, UniParc:UPI0002AADC07, UniRef:UniRef100_A0A6G7SNK0, UniRef:UniRef50_A0A6G7SNK0, UniRef:UniRef90_A0A6G7SNK0
contig_2	790	1008	-	DPFGDO_00140	8.5	6.3		
contig_2	1770	2015	+	DPFGDO_00150	9.2	10.7		RefSeq:WP_032433971.1, SO:0001217, UniParc:UPI00050C1E01, UniRef:UniRef100_A0A8J3DRV3, UniRef:UniRef50_A0A380C7R3, UniRef:UniRef90_A0A8J3DRV3
contig_2	2023	2208	-	DPFGDO_00155	6.6	11.9		
contig_2	2532	2648	-	DPFGDO_00165	4.4	4.6		
contig_2	2658	2870	+	DPFGDO_00170	8.0	10.8		
contig_2	3139	3438	-	DPFGDO_00175	11.1	11.3		SO:0001217, UniParc:UPI00092E5D95, UniRef:UniRef100_A0A483VZJ2, UniRef:UniRef50_A8ARU7, UniRef:UniRef90_A8ARU7
contig_2	3811	4191	+	DPFGDO_00185	14.8	8.9		RefSeq:WP_048327638.1, SO:0001217, UniParc:UPI000650BA0B, UniRef:UniRef100_UPI001E5ECCF2, UniRef:UniRef50_A0A7T4NV32, UniRef:UniRef90_A0A7T4NV32
contig_2	4217	4762	+	DPFGDO_00190	20.8	9.5		RefSeq:WP_032433973.1, SO:0001217, UniParc:UPI00044B4FC0, UniRef:UniRef100_A0A483VZW6, UniRef:UniRef50_A0A7T4NV44, UniRef:UniRef90_A0A7T4NV44
contig_2	4798	5193	+	DPFGDO_00195	15.0	9.5		SO:0001217, UniRef:UniRef50_A0A7X8YIZ1, UniRef:UniRef90_A0A7X8YIZ1
contig_2	5138	5290	-	DPFGDO_00200	5.8	8.9		SO:0001217, UniRef:UniRef50_A8ARU1, UniRef:UniRef50_UPI00195454DB, UniRef:UniRef90_A8ARU1, UniRef:UniRef90_UPI00195454DB
contig_3	56	427	-	DPFGDO_00210	13.5	5.2		
contig_3	523	831	+	DPFGDO_00215	11.8	9.4		
contig_3	959	1282	+	DPFGDO_00220	13.2	9.6		
contig_3	2811	3278	-	DPFGDO_00230	17.4	7.8		SO:0001217, UniRef:UniRef50_R9R0P9, UniRef:UniRef90_A0A2Y0NUS5
contig_3	3253	3369	-	DPFGDO_00235	4.3	6.8		
contig_3	4348	4593	-	DPFGDO_00245	8.9	4.5		SO:0001217, UniRef:UniRef50_UPI00165685D9, UniRef:UniRef90_UPI001BB0A651
contig_4	461	817	+	DPFGDO_00255	13.1	11.7		
contig_4	784	957	+	DPFGDO_00260	6.0	7.8		SO:0001217, UniRef:UniRef50_A0A3N2RME5, UniRef:UniRef90_A0A3N2RME5
contig_4	944	1243	-	DPFGDO_00265	10.6	9.7		SO:0001217, UniRef:UniRef50_UPI00093FD19C, UniRef:UniRef90_UPI001A91F084
contig_4	3218	3367	-	DPFGDO_00285	5.3	4.1		
contig_4	3790	3954	+	DPFGDO_00295	6.3	9.9		SO:0001217, UniParc:UPI000E2B6FA9, UniRef:UniRef100_A0A8B4T784, UniRef:UniRef50_A0A8B4T784, UniRef:UniRef90_A0A8B4T784
contig_4	3970	4134	+	DPFGDO_00300	6.3	9.7		
