#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	23	1609	+	DPFGDO_00005		hypothetical protein	SO:0001217, UniParc:UPI0009CDB323, UniRef:UniRef100_A0A486W242, UniRef:UniRef50_A0A486W242, UniRef:UniRef90_A0A486W242
contig_1	oriC	1565	3203	?			origin of replication	
contig_1	cds	1578	1694	-	DPFGDO_00010		hypothetical protein	
contig_1	cds	1736	2053	-	DPFGDO_00015		hypothetical protein	RefSeq:WP_012000837.1, SO:0001217, UniParc:UPI00015C63F7, UniRef:UniRef100_A0A7A6RD66, UniRef:UniRef50_A0A0E1CMW6, UniRef:UniRef90_A0A0E1CMW6
contig_1	cds	2371	2475	-	DPFGDO_00020		hypothetical protein	
contig_1	cds	2484	2684	-	DPFGDO_00025		hypothetical protein	
contig_1	cds	2696	2851	+	DPFGDO_00030		hypothetical protein	
contig_1	ncRNA	3041	3143	+	DPFGDO_00035	RNAI	RNAI	RFAM:RF00106, SO:0000655
contig_1	cds	3204	3353	-	DPFGDO_00040		lysis protein	RefSeq:WP_004152552.1, SO:0001217, UniParc:UPI000067C15D, UniRef:UniRef100_Q2PWZ0, UniRef:UniRef50_P02987, UniRef:UniRef90_Q2PWZ0
contig_1	cds	3438	3695	-	DPFGDO_00045		cloacin	RefSeq:WP_004152553.1, SO:0001217, UniParc:UPI000067C15E, UniRef:UniRef100_A0A2P9E858, UniRef:UniRef50_P13477, UniRef:UniRef90_A0A2P9E858
contig_1	cds	3705	5009	-	DPFGDO_00050		colicin E3/pyocin S6 family cytotoxin	SO:0001217, UniRef:UniRef50_A0A2X1QIT2, UniRef:UniRef90_UPI000CF93672
contig_1	cds	4994	5281	-	DPFGDO_00055		hypothetical protein	
contig_1	cds	5306	5407	+	DPFGDO_00060		hypothetical protein	
contig_1	cds	5512	5739	+	DPFGDO_00065		hypothetical protein	SO:0001217, UniParc:UPI00015C63FA, UniRef:UniRef100_A0A0E1CMX0, UniRef:UniRef50_A0A0E1CMX0, UniRef:UniRef90_A0A0E1CMX0
contig_1	cds	5756	5854	-	DPFGDO_00070		hypothetical protein	
contig_1	cds	5851	5961	-	DPFGDO_00075		hypothetical protein	
contig_1	cds	5964	6212	+	DPFGDO_00080		Exc2 family lipoprotein	RefSeq:WP_004152550.1, SO:0001217, UniParc:UPI0001824659, UniRef:UniRef100_A0A740J012, UniRef:UniRef50_Q51623, UniRef:UniRef90_Q51623
contig_1	cds	6412	6528	-	DPFGDO_00085		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A064CXR9, UniRef:UniRef90_A0A064CXR9
contig_1	cds	6485	6748	-	DPFGDO_00090		Cytosine-specific methyltransferase	SO:0001217, UniRef:UniRef50_G9G763, UniRef:UniRef90_G9G763
