#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	805	1845	+	EPPIJA_00005	rbsB	LacI family transcriptional regulator	COG:COG1879, COG:G, RefSeq:WP_004176090.1, SO:0001217, UniParc:UPI000282F987, UniRef:UniRef100_A0A1V7W7J0, UniRef:UniRef50_A0A0C7KJS6, UniRef:UniRef90_A0A0C7KJS6
contig_1	cds	2038	2961	+	EPPIJA_00010	ycjR	AP endonuclease	COG:COG1082, COG:G, RefSeq:WP_032433119.1, SO:0001217, UniParc:UPI000452ED74, UniRef:UniRef100_A0A4S5PZY4, UniRef:UniRef50_A0A5P3EZS8, UniRef:UniRef90_A0A5P3EZS8
contig_1	cds	2975	4147	+	EPPIJA_00015	mviM	oxidoreductase	COG:COG0673, COG:R, RefSeq:WP_004184149.1, SO:0001217, UniParc:UPI000283028A, UniRef:UniRef100_A0A4V3YE16, UniRef:UniRef50_P94437, UniRef:UniRef90_A0A486L0N6
contig_1	cds	4185	5300	-	EPPIJA_00020		DUF4056 domain-containing protein	RefSeq:WP_004184150.1, SO:0001217, UniParc:UPI000283028B, UniRef:UniRef100_A0A4S4VC83, UniRef:UniRef50_E3G5F1, UniRef:UniRef90_A6T9F8
contig_1	ncRNA-region	5547	5648	+			TPP riboswitch (THI element)	RFAM:RF00059, SO:0000035
contig_1	cds	5717	6412	+	EPPIJA_00025	tenA	thiaminase II	COG:COG0819, COG:H, RefSeq:WP_015958456.1, SO:0001217, UniParc:UPI000157671B, UniRef:UniRef100_W9BH16, UniRef:UniRef50_W9BH16, UniRef:UniRef90_W9BH16
contig_1	cds	6409	7137	+	EPPIJA_00030	tauB	ABC transporter ATP-binding protein	COG:COG1116, COG:P, RefSeq:WP_004224984.1, SO:0001217, UniParc:UPI0002186388, UniRef:UniRef100_A0A7U7F4D5, UniRef:UniRef50_A0A2R8CP90, UniRef:UniRef90_A0A2V3K5T4
contig_1	cds	7134	7874	+	EPPIJA_00035	tauC	ABC transporter permease	COG:COG0600, COG:P, RefSeq:WP_004180004.1, SO:0001217, UniParc:UPI000157671D, UniRef:UniRef100_A0A7U7F4D4, UniRef:UniRef50_A0A169VH24, UniRef:UniRef90_A0A169VH24
contig_1	cds	7899	8834	+	EPPIJA_00040	tauA	thiamine biosynthesis protein	COG:COG0715, COG:P, RefSeq:WP_023287669.1, SO:0001217, UniParc:UPI0003BE3F25, UniRef:UniRef100_A0A4S5PW46, UniRef:UniRef50_A0A0A2W5T5, UniRef:UniRef90_R4Y8G1
contig_1	cds	9144	10526	+	EPPIJA_00045	argD	diaminobutyrate--2-oxoglutarate transaminase	COG:COG0160, COG:E, EC:2.6.1.76, KEGG:K00836, RefSeq:WP_004176074.1, SO:0001217, UniParc:UPI0002410723, UniRef:UniRef100_A0A0E1CIU4, UniRef:UniRef50_P56744, UniRef:UniRef90_A0A336JD64
contig_1	cds	10545	12017	+	EPPIJA_00050	gadA	aspartate aminotransferase family protein	COG:COG0076, COG:E, EC:4.1.1.86, KEGG:K13745, RefSeq:WP_004143675.1, SO:0001217, UniParc:UPI000157671F, UniRef:UniRef100_A0A7U7IIY4, UniRef:UniRef50_A0A085GEJ2, UniRef:UniRef90_A0A181XCF0
contig_1	cds	12223	13104	+	EPPIJA_00055	lysR	LysR family transcriptional regulator	COG:COG0583, COG:K, SO:0001217, UniRef:UniRef50_A0A2X3I5R6, UniRef:UniRef90_A0A0E1CEH7
contig_1	cds	13436	14626	-	EPPIJA_00060	ccdA	cytochrome C biogenesis protein	COG:CO, COG:COG0785, RefSeq:WP_032433120.1, SO:0001217, UniParc:UPI00044E5D82, UniRef:UniRef100_A0A4S8C3J5, UniRef:UniRef50_A0A483VZA7, UniRef:UniRef90_A0A483VZA7
contig_1	cds	14729	16072	-	EPPIJA_00065	baeS	two-component sensor histidine kinase	COG:COG0642, COG:T, RefSeq:WP_020802158.1, SO:0001217, UniParc:UPI0003420E28, UniRef:UniRef100_A0A4S7LZ97, UniRef:UniRef50_A0A447L581, UniRef:UniRef90_A0A5P3HX65
contig_1	cds	16069	16809	-	EPPIJA_00070	ompR	DNA-binding response regulator	COG:COG0745, COG:TK, RefSeq:WP_004176065.1, SO:0001217, UniParc:UPI000282F97B, UniRef:UniRef100_A0A0J2GWH3, UniRef:UniRef50_A0A423P6H5, UniRef:UniRef90_A0A0J2GWH3
contig_1	cds	16896	17888	-	EPPIJA_00075	menH	alpha/beta hydrolase	COG:COG0596, COG:HR, RefSeq:WP_004189934.1, SO:0001217, UniParc:UPI000218638D, UniRef:UniRef100_A0A7U7IHE9, UniRef:UniRef50_A0A447L571, UniRef:UniRef90_A0A2X1QXG3
contig_1	cds	18132	19151	+	EPPIJA_00080		peptidase	COG:COG2355, COG:OE, RefSeq:WP_023283754.1, SO:0001217, UniParc:UPI0003BF97C0, UniRef:UniRef100_A0A8D4D3K9, UniRef:UniRef50_A0A085JEX5, UniRef:UniRef90_A0A0W2RCG4
contig_1	sorf	19288	19359	+	EPPIJA_00085	pqqA	Coenzyme PQQ synthesis protein A	GO:0018189, RefSeq:WP_002905689.1, SO:0001217, UniParc:UPI0000132129, UniRef:UniRef100_B5XX62, UniRef:UniRef50_B5XX62, UniRef:UniRef90_B5XX62
contig_1	cds	19414	20340	+	EPPIJA_00090	pqqB	pyrroloquinoline quinone biosynthesis protein PqqB	COG:COG1235, COG:P, GO:0018189, KEGG:K06136, RefSeq:WP_004148467.1, SO:0001217, UniParc:UPI0001A58AAF, UniRef:UniRef100_W9B931, UniRef:UniRef50_Q6F9J2, UniRef:UniRef90_P27504
