#Annotated with Bakta v1.6.1, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	175695	177131	+	IKPKMH_00900	52.4	6.2		SO:0001217, UniParc:UPI0003000D55, UniRef:UniRef100_A0A4S4YT84, UniRef:UniRef50_A0A422ZCU0, UniRef:UniRef90_A0A422ZCU0
contig_1	257058	257264	+	IKPKMH_01250	8.3	12.0		SO:0001217, UniParc:UPI0002410C50, UniRef:UniRef100_A0A0E1CDD0, UniRef:UniRef50_G9Z8N6, UniRef:UniRef90_A0A0E1CDD0
contig_1	264070	264303	+	IKPKMH_01290	7.9	6.2		RefSeq:WP_039818253.1, SO:0001217, UniParc:UPI0005851E1D, UniRef:UniRef100_A0A4S4WMU2, UniRef:UniRef50_A0A486SP11, UniRef:UniRef90_A0A486SP11
contig_1	292666	292986	-	IKPKMH_01430	11.2	6.3		RefSeq:WP_004184563.1, SO:0001217, UniParc:UPI000205C4FA, UniRef:UniRef100_A0A7U7F509, UniRef:UniRef50_A0A377WKC4, UniRef:UniRef90_A0A377WKC4
contig_1	293102	293320	+	IKPKMH_01435	8.1	9.0		RefSeq:WP_004143192.1, SO:0001217, UniParc:UPI0001A585C9, UniRef:UniRef100_A0A0C4M5H7, UniRef:UniRef50_A0A0C4M5H7, UniRef:UniRef90_A0A0C4M5H7
contig_1	308479	308676	+	IKPKMH_01500	6.9	5.2		RefSeq:WP_002908880.1, SO:0001217, UniParc:UPI000157673C, UniRef:UniRef100_A0A0E1CHE6, UniRef:UniRef50_A0A0E1CHE6, UniRef:UniRef90_A0A0E1CHE6
contig_1	381626	382411	+	IKPKMH_01850	28.1	11.3		SO:0001217, UniParc:UPI0004462579, UniRef:UniRef100_A0A8B4U7Z6, UniRef:UniRef50_A0A6I7JXW1, UniRef:UniRef90_A0A8B4SU05
contig_1	383273	383662	+	IKPKMH_01860	14.3	8.5		RefSeq:WP_004189565.1, SO:0001217, UniParc:UPI00029CD181, UniRef:UniRef100_A0A098CF51, UniRef:UniRef50_K8A3B1, UniRef:UniRef90_K8A3B1
contig_1	394634	395275	-	IKPKMH_01910	24.4	9.6		RefSeq:WP_004145379.1, SO:0001217, UniParc:UPI00015763EF, UniRef:UniRef100_A0A7U7F4V0, UniRef:UniRef50_W9B924, UniRef:UniRef90_W9B924
contig_1	406733	406873	-	IKPKMH_01970	5.1	4.1		RefSeq:WP_002908189.1, SO:0001217, UniParc:UPI00015763E4, UniRef:UniRef100_A0A7U7F6M9, UniRef:UniRef50_A0A2S4RZ35, UniRef:UniRef90_A0A7U7F6M9
contig_1	446228	446377	+	IKPKMH_02170	5.5	11.1		RefSeq:WP_002907802.1, SO:0001217, UniParc:UPI0001A58ABE, UniRef:UniRef100_A0A0E1CHR3, UniRef:UniRef50_A0A7H4MLH5, UniRef:UniRef90_A0A0E1CHR3
contig_1	495971	496156	+	IKPKMH_02450	6.7	6.5		RefSeq:WP_002907644.1, SO:0001217, UniParc:UPI0001576D5F, UniRef:UniRef100_W9BGR8, UniRef:UniRef50_W9BGR8, UniRef:UniRef90_W9BGR8
contig_1	524512	524610	+	IKPKMH_02590	3.7	5.8		SO:0001217, UniParc:UPI0002186516, UniRef:UniRef100_A0A0E1CDN3, UniRef:UniRef50_A0A0E1CDN3, UniRef:UniRef90_A0A0E1CDN3
contig_1	532141	532263	-	IKPKMH_02630	4.4	11.1		RefSeq:WP_004175940.1, SO:0001217, UniParc:UPI0001576BCF, UniRef:UniRef100_A0A8D6FY94, UniRef:UniRef50_W9B9A9, UniRef:UniRef90_W9B9A9
contig_1	623862	623957	+	IKPKMH_03060	3.5	4.4		SO:0001217, UniParc:UPI0002410629, UniRef:UniRef100_A0A0C7KK38, UniRef:UniRef50_A0A0C7KK38, UniRef:UniRef90_A0A0C7KK38
contig_1	624424	624927	-	IKPKMH_03070	19.1	7.8		RefSeq:WP_023287680.1, SO:0001217, UniParc:UPI0003BE155D, UniRef:UniRef100_A0A4S4YK16, UniRef:UniRef50_R4Y8D6, UniRef:UniRef90_W9B8I8
contig_1	625489	625635	+	IKPKMH_03080	5.5	5.2		RefSeq:WP_002906033.1, SO:0001217, UniParc:UPI00015767F5, UniRef:UniRef100_A0A7U7F689, UniRef:UniRef50_A0A1V3Z291, UniRef:UniRef90_A0A7U7F689
