#Annotated with Bakta v1.6.1, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	10857	11246	-	HDAADD_00050	14.3	8.5		RefSeq:WP_004189565.1, SO:0001217, UniParc:UPI00029CD181, UniRef:UniRef100_A0A098CF51, UniRef:UniRef50_K8A3B1, UniRef:UniRef90_K8A3B1
contig_1	12108	12893	-	HDAADD_00060	28.1	11.3		SO:0001217, UniParc:UPI0004462579, UniRef:UniRef100_A0A8B4U7Z6, UniRef:UniRef50_A0A6I7JXW1, UniRef:UniRef90_A0A8B4SU05
contig_1	85842	86039	-	HDAADD_00415	6.9	5.2		RefSeq:WP_002908880.1, SO:0001217, UniParc:UPI000157673C, UniRef:UniRef100_A0A0E1CHE6, UniRef:UniRef50_A0A0E1CHE6, UniRef:UniRef90_A0A0E1CHE6
contig_1	101198	101416	-	HDAADD_00480	8.1	9.0		RefSeq:WP_004143192.1, SO:0001217, UniParc:UPI0001A585C9, UniRef:UniRef100_A0A0C4M5H7, UniRef:UniRef50_A0A0C4M5H7, UniRef:UniRef90_A0A0C4M5H7
contig_1	101532	101852	+	HDAADD_00485	11.2	6.3		RefSeq:WP_004184563.1, SO:0001217, UniParc:UPI000205C4FA, UniRef:UniRef100_A0A7U7F509, UniRef:UniRef50_A0A377WKC4, UniRef:UniRef90_A0A377WKC4
contig_1	130214	130447	-	HDAADD_00630	7.9	6.2		RefSeq:WP_039818253.1, SO:0001217, UniParc:UPI0005851E1D, UniRef:UniRef100_A0A4S4WMU2, UniRef:UniRef50_A0A486SP11, UniRef:UniRef90_A0A486SP11
contig_1	137253	137459	-	HDAADD_00670	8.3	12.0		SO:0001217, UniParc:UPI0002410C50, UniRef:UniRef100_A0A0E1CDD0, UniRef:UniRef50_G9Z8N6, UniRef:UniRef90_A0A0E1CDD0
contig_1	217388	218824	-	HDAADD_01020	52.4	6.2		SO:0001217, UniParc:UPI0003000D55, UniRef:UniRef100_A0A4S4YT84, UniRef:UniRef50_A0A422ZCU0, UniRef:UniRef90_A0A422ZCU0
contig_1	395140	396192	+	HDAADD_01920	40.7	6.8		RefSeq:WP_159195310.1, SO:0001217, UniParc:UPI00132F7117, UniRef:UniRef100_UPI00132F7117, UniRef:UniRef50_A0A443VH20, UniRef:UniRef90_UPI001438579A
contig_1	396500	397564	+	HDAADD_01925	41.1	6.6		RefSeq:WP_159195309.1, SO:0001217, UniParc:UPI00132FFB9C, UniRef:UniRef100_UPI00132FFB9C, UniRef:UniRef50_UPI00132FFB9C, UniRef:UniRef90_UPI00132FFB9C
contig_1	398073	398819	-	HDAADD_01930	26.1	5.2		RefSeq:WP_181246627.1, SO:0001217, UniParc:UPI0015E6BE99, UniRef:UniRef100_UPI0015E6BE99, UniRef:UniRef50_A0A4S4UH16, UniRef:UniRef90_A0A4S4UH16
contig_2	55169	57610	+	HDAADD_02185	89.9	5.9	PF09994.12|DUF2235, PF09994.12|DUF2235	PFAM:PF09994.12, PFAM:PF09994.12, SO:0001217, UniRef:UniRef50_A0A2J9SH40, UniRef:UniRef90_A0A2X3CAR6
contig_2	57885	59024	+	HDAADD_02195	41.6	5.7		RefSeq:WP_023287565.1, SO:0001217, UniParc:UPI0003BF7C48, UniRef:UniRef100_A0A4S7LRU7, UniRef:UniRef50_L0MDP8, UniRef:UniRef90_A0A0E1CF38
contig_2	67555	68049	+	HDAADD_02225	18.3	6.3		RefSeq:WP_004179572.1, SO:0001217, UniParc:UPI000282EF73, UniRef:UniRef100_A0A1V7XCR4, UniRef:UniRef50_W9BP40, UniRef:UniRef90_A0A1V7XCR4
contig_2	87448	87642	-	HDAADD_02335	7.6	6.1		RefSeq:WP_004176404.1, SO:0001217, UniParc:UPI000157636B, UniRef:UniRef100_A0A7U7F3P4, UniRef:UniRef50_A0A087FKZ6, UniRef:UniRef90_A0A087FKZ6
contig_2	167949	168467	+	HDAADD_02705	19.6	7.8		SO:0001217, UniParc:UPI000205DDA7, UniRef:UniRef100_A0A0C7KD08, UniRef:UniRef50_B5XRF4, UniRef:UniRef90_B5XRF4
contig_2	183020	183382	-	HDAADD_02765	14.0	6.3		RefSeq:WP_002903374.1, SO:0001217, UniParc:UPI0001575FBC, UniRef:UniRef100_A0A7U7F3U9, UniRef:UniRef50_A0A0J4N9Z3, UniRef:UniRef90_B5XRE1
contig_2	220169	220525	+	HDAADD_02930	13.9	4.9		RefSeq:WP_004176301.1, SO:0001217, UniParc:UPI0001576087, UniRef:UniRef100_A0A169Q432, UniRef:UniRef50_A0A086I7Y8, UniRef:UniRef90_A0A086I7Y8
contig_2	223689	225266	-	HDAADD_02945	58.2	7.0		SO:0001217, UniParc:UPI0002E65FF9, UniRef:UniRef100_A0A485QE98, UniRef:UniRef50_A0A4S8CGG0, UniRef:UniRef90_A0A4S8CGG0
contig_2	237743	237847	+	HDAADD_03015	3.7	10.0		SO:0001217, UniParc:UPI0001576097, UniRef:UniRef100_A0A7U7F3Y1, UniRef:UniRef50_B5XR91, UniRef:UniRef90_B5XR91
contig_2	238236	238607	+	HDAADD_03020	13.9	9.9		SO:0001217, UniParc:UPI00037FE62F, UniRef:UniRef100_A0A170XEE3, UniRef:UniRef50_A0A0H3HC69, UniRef:UniRef90_A0A0J2G704
contig_2	264844	264948	-	HDAADD_03155	3.7	5.6		SO:0001217, UniParc:UPI000282F005, UniRef:UniRef100_A0A331H0I4, UniRef:UniRef50_A0A7Z9B0A7, UniRef:UniRef90_A0A7Z9B0A7
contig_2	277464	277724	+	HDAADD_03220	9.4	6.0		RefSeq:WP_004176262.1, SO:0001217, UniParc:UPI0000003DFF, UniRef:UniRef100_Q849X8, UniRef:UniRef50_A0A141RGY5, UniRef:UniRef90_A0A141RGY5
contig_2	318716	318814	+	HDAADD_03425	3.7	6.0		SO:0001217, UniParc:UPI0001576227, UniRef:UniRef100_A0A7U7IHA3, UniRef:UniRef50_E3G7B2, UniRef:UniRef90_A0A7U7IHA3
contig_2	321859	322149	-	HDAADD_03450	11.1	9.4		RefSeq:WP_002904624.1, SO:0001217, UniParc:UPI000157622D, UniRef:UniRef100_V0AY65, UniRef:UniRef50_V0AY65, UniRef:UniRef90_V0AY65
contig_2	352124	352372	-	HDAADD_03610	9.7	8.1		RefSeq:WP_002904810.1, SO:0001217, UniParc:UPI00015762A4, UniRef:UniRef100_W9B845, UniRef:UniRef50_A0A0F1R5I5, UniRef:UniRef90_A0A087FPE2
contig_2	355481	355621	-	HDAADD_03625	5.1	10.3		RefSeq:WP_002904814.1, SO:0001217, UniParc:UPI0001576309, UniRef:UniRef100_A0A7U7IIT8, UniRef:UniRef50_A0A377XB29, UniRef:UniRef90_A0A7U7IIT8
contig_2	355646	355885	-	HDAADD_03630	8.9	9.3		RefSeq:WP_002904816.1, SO:0001217, UniParc:UPI000218621C, UniRef:UniRef100_A0A0E1CIT5, UniRef:UniRef50_A0A0E1CIT5, UniRef:UniRef90_A0A0E1CIT5
contig_2	386109	386348	-	HDAADD_03765	9.4	9.3		RefSeq:WP_002904864.1, SO:0001217, UniParc:UPI000241DB03, UniRef:UniRef100_A0A8D6CUK3, UniRef:UniRef50_A0A8B4T3Y9, UniRef:UniRef90_A0A2X3F2Y9
contig_3	97	213	+	HDAADD_03795	4.4	10.4		SO:0001217, UniParc:UPI0002830F3E, UniRef:UniRef100_A0A332K8B1, UniRef:UniRef50_A0A332K8B1, UniRef:UniRef90_A0A332K8B1
contig_3	46728	46931	+	HDAADD_04020	7.9	4.8		RefSeq:WP_015959185.1, SO:0001217, UniParc:UPI0001576D21, UniRef:UniRef100_A0A4C4KZL6, UniRef:UniRef50_A0A4R7GML3, UniRef:UniRef90_A0A0L7AII5
contig_3	48380	48988	+	HDAADD_04030	23.2	8.4		RefSeq:WP_032433717.1, SO:0001217, UniParc:UPI00044C625E, UniRef:UniRef100_A0A4S7LQF4, UniRef:UniRef50_A0A4S7LQF4, UniRef:UniRef90_A0A4S7LQF4
contig_3	53412	54506	-	HDAADD_04055	41.6	6.0		RefSeq:WP_071557796.1, SO:0001217, UniParc:UPI00044B45DF, UniRef:UniRef100_A0A4S8CTT3, UniRef:UniRef50_A0A4S8CTT3, UniRef:UniRef90_A0A4S8CTT3
contig_3	68542	69603	+	HDAADD_04110	38.5	5.1		SO:0001217, UniParc:UPI0003BFCFC2, UniRef:UniRef100_A0A4S7KBA6, UniRef:UniRef50_L0MCS7, UniRef:UniRef90_A0A1L5UBY4
contig_3	79184	79354	-	HDAADD_04165	6.5	7.9		SO:0001217, UniParc:UPI000448860A, UniRef:UniRef100_A0A331TDX7, UniRef:UniRef50_A0A377TK28, UniRef:UniRef90_A0A331TDX7
contig_3	147148	147255	+	HDAADD_04510	4.1	10.7		SO:0001217, UniParc:UPI000282FFC0, UniRef:UniRef100_A0A2X3D3B8, UniRef:UniRef50_A0A486QLN5, UniRef:UniRef90_A0A486QLN5
contig_3	151365	152396	-	HDAADD_04540	39.7	5.6		RefSeq:WP_019724980.1, SO:0001217, UniParc:UPI0002DA7414, UniRef:UniRef100_A0A4S4U660, UniRef:UniRef50_A0A4S4U660, UniRef:UniRef90_A0A4S4U660
contig_3	154777	155256	+	HDAADD_04550	18.6	4.6		SO:0001217, UniRef:UniRef50_UPI001D0DBA1C, UniRef:UniRef90_UPI001D0DBA1C
contig_3	155358	156731	-	HDAADD_04555	53.9	5.1		RefSeq:WP_019724983.1, SO:0001217, UniParc:UPI0002EC454E, UniRef:UniRef100_A0A4V3Y3Z6, UniRef:UniRef50_A0A4V3Y3Z6, UniRef:UniRef90_A0A4V3Y3Z6
contig_4	245	751	+	HDAADD_05550	19.2	6.1		RefSeq:WP_002895283.1, SO:0001217, UniParc:UPI0001575D3F, UniRef:UniRef100_A0A7U7F2F3, UniRef:UniRef50_B5XRF4, UniRef:UniRef90_A0A169AQY3
contig_4	5936	6046	-	HDAADD_05570	3.7	6.0		SO:0001217, UniParc:UPI0001575D42, UniRef:UniRef100_A0A447S3R1, UniRef:UniRef50_A0A447S3R1, UniRef:UniRef90_A0A447S3R1
contig_4	29181	29273	+	HDAADD_05660	3.6	8.4		SO:0001217, UniParc:UPI0001BDD3C4, UniRef:UniRef100_A0A0E1CH20, UniRef:UniRef50_A0A0E1CH20, UniRef:UniRef90_A0A0E1CH20
