ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
vanC	3000368	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus gallinarum	31.00	0.00	31.00	19.28	199.00	86.55	0	0	0	0	N/A	N/A		1032	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
OCH-1	3002514	protein homolog model	CARD	1	100.0	no data	no data	Brucella anthropi	1.00	0.00	1.00	1.96	23.00	34.00	0	0	0	0	N/A	N/A		1173	OCH beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation
CGB-1	3000841	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium gleum	2.00	0.00	2.00	2.61	19.00	34.00	0	0	0	0	N/A	N/A		729	CGB beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
rmtH	3003198	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	0.00	1.00	2.90	22.00	80.00	0	0	0	0	N/A	N/A		759	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
tet(H)	3000175	protein homolog model	CARD	1	100.0	no data	no data	Pasteurella multocida	4.00	0.00	4.00	4.24	51.00	50.50	0	0	0	0	N/A	N/A		1203	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CfxA6	3003097	protein homolog model	CARD	1	100.0	no data	no data	uncultured organism	11.00	0.00	11.00	51.10	509.00	154.64	0	0	0	0	N/A	N/A		996	CfxA beta-lactamase	cephalosporin	antibiotic inactivation
tet(40)	3000567	protein homolog model	CARD; Resistomes & Variants	6	96.8 - 100.0	no data	no data	uncultured bacterium; Roseburia hominis; Faecalibacterium prausnitzii; Enterocloster clostridioformis; Streptococcus suis	559.00	0.00	559.00	63.97	786.67	183.77	0	0	0	0	N/A	N/A		1221; 1254; 1221; 1239; 1221; 1221	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ermZ	3004605	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces ambofaciens	33.00	0.00	33.00	9.89	84.00	79.24	0	0	0	0	N/A	N/A		849	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
ErmQ	3000593	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	25.00	0.00	25.00	99.35	769.00	182.84	0	0	0	0	N/A	N/A		774	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
CTX-M-112	3001972	protein homolog model	CARD	1	100.0	no data	no data	Shigella sp.	1.00	0.00	1.00	6.51	57.00	162.00	0	0	0	0	N/A	N/A		876	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
vatH	3002845	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	1.00	0.00	1.00	4.30	28.00	46.00	0	0	0	0	N/A	N/A		651	streptogramin vat acetyltransferase	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation
tet(W)	3000194	protein homolog model	CARD; Resistomes & Variants	19	95.85 - 100.0	YES	no data	Butyrivibrio fibrisolvens; Bifidobacterium bifidum; Bifidobacterium breve; Bifidobacterium longum; Bifidobacterium thermophilum; Corynebacterium amycolatum; Corynebacterium diphtheriae; Corynebacterium jeikeium; Eggerthella lenta; Faecalibacterium prausnitzii; Gordonibacter urolithinfaciens; Lactobacillus crispatus; Lactobacillus johnsonii; Ligilactobacillus animalis; Mobiluncus mulieris; Streptococcus agalactiae; Streptococcus equi; Streptococcus mitis; Streptococcus suis; Trueperella pyogenes; Victivallales bacterium; Escherichia coli	6596.00	0.00	6596.00	33.48	530.16	133.33	0	0	0	0	N/A	N/A		1920; 1920; 1794; 693; 1530; 2082; 1080; 1332; 1653; 1689; 729; 714; 693; 1941; 1920; 1920; 1920; 1920; 219	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
