ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
APH(4)-Ia	3002655	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	526.00	0.00	526.00	100.00	1026.00	183.08	0	0	0	0	N/A	N/A		1026	APH(4)	aminoglycoside antibiotic	antibiotic inactivation
lsaE	3003206	protein homolog model	CARD; Resistomes & Variants	4	97.98 - 100.0	YES	YES	Enterococcus faecalis; Enterococcus faecium; Enterococcus hirae; Staphylococcus aureus; Streptococcus dysgalactiae; Streptococcus gallolyticus; Streptococcus suis; Streptococcus agalactiae; Streptococcus pasteurianus	1234.00	0.00	1234.00	52.56	780.50	150.33	0	0	0	0	N/A	N/A		1485; 1485; 1485; 1485	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
evgA	3000832	protein homolog model	CARD; Resistomes & Variants	5	98.53 - 100.0	YES	no data	Escherichia coli	198.00	0.00	198.00	57.01	361.40	188.16	0	0	0	0	N/A	N/A		615; 615; 615; 669; 615	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux
cmlv	3002700	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces venezuelae	3.00	0.00	3.00	3.59	47.00	56.00	0	0	0	0	N/A	N/A		1311	chloramphenicol phosphotransferase	phenicol antibiotic	antibiotic inactivation
tetA(P)	3000180	protein homolog model	CARD; Resistomes & Variants	2	97.79 - 100.0	no data	no data	Clostridium perfringens; Jeotgalibaca arthritidis	12.00	0.00	12.00	41.36	518.50	150.94	0	0	0	0	N/A	N/A		1263; 1227	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
vanS gene in vanC cluster	3002933	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus gallinarum	34.00	0.00	34.00	95.76	1040.00	178.56	0	0	0	0	N/A	N/A		1086	vanS; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
catP	3002686	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	65.00	0.00	65.00	100.00	624.00	181.68	0	0	0	0	N/A	N/A		624	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
emeA	3003551	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	92.00	0.00	92.00	100.00	1182.00	173.51	0	0	0	0	N/A	N/A		1182	multidrug and toxic compound extrusion (MATE) transporter	disinfecting agents and antiseptics	antibiotic efflux
ErmQ	3000593	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	7.00	0.00	7.00	73.77	571.00	191.00	0	0	0	0	N/A	N/A		774	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
tet(J)	3000177	protein homolog model	CARD	1	100.0	no data	no data	Proteus mirabilis	6.00	0.00	6.00	39.26	470.00	182.33	0	0	0	0	N/A	N/A		1197	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
dfrF	3002867	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	795.00	0.00	795.00	100.00	495.00	179.99	0	0	0	0	N/A	N/A		495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
QnrD2	3002789	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	3.00	0.00	3.00	37.67	243.00	189.33	0	0	0	0	N/A	N/A		645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
vanC	3000368	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus gallinarum	91.00	0.00	91.00	86.43	892.00	104.33	0	0	0	0	N/A	N/A		1032	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
OXA-104	3001636	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	1.00	0.00	1.00	3.16	26.00	34.00	0	0	0	0	N/A	N/A		822	OXA beta-lactamase; OXA-51-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
OCH-1	3002514	protein homolog model	CARD	1	100.0	no data	no data	Brucella anthropi	2.00	0.00	2.00	1.96	23.00	34.00	0	0	0	0	N/A	N/A		1173	OCH beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation
QnrD1	3002788	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	12.00	0.00	12.00	76.28	492.00	182.25	0	0	0	0	N/A	N/A		645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
sul3	3000413	protein homolog model	CARD; Resistomes & Variants	3	100.0	no data	YES	Escherichia coli; Klebsiella pneumoniae	1003.00	0.00	1003.00	81.75	685.33	179.01	0	0	0	0	N/A	N/A		792; 849; 858	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
H-NS	3000676	protein homolog model	CARD; Resistomes & Variants	13	92.7 - 100.0	YES	no data	Escherichia coli; Klebsiella pneumoniae; Klebsiella quasipneumoniae	284.00	0.00	284.00	45.95	249.92	157.96	0	0	0	0	N/A	N/A		414; 414; 414; 576; 414; 414; 489; 411; 504; 414; 1527; 570; 408	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux
mel	3000616	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	171.00	0.00	171.00	100.00	1218.00	169.92	0	0	0	0	N/A	N/A		1218	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
mef(B)	3003107	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	247.00	0.00	247.00	25.28	311.00	175.49	0	0	0	0	N/A	N/A		1230	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
ANT(6)-Ib	3002629	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter fetus	51.00	0.00	51.00	31.59	271.00	67.67	0	0	0	0	N/A	N/A		858	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
ANT(6)-Ia	3002626	protein homolog model	CARD; Resistomes & Variants	6	96.44 - 100.0	YES	no data	Exiguobacterium sp.; Streptococcus suis; Enterococcus faecalis; Campylobacter jejuni	957.00	0.00	957.00	77.80	497.50	169.67	0	0	0	0	N/A	N/A		864; 909; 909; 231; 522; 714	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
lsaA	3000300	protein homolog model	CARD; Resistomes & Variants	2	100.0	YES	no data	Enterococcus faecalis	194.00	0.00	194.00	78.72	1178.50	182.00	0	0	0	0	N/A	N/A		1497; 1497	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic	antibiotic target protection
APH(3')-IIIa	3002647	protein homolog model	CARD; Resistomes & Variants	3	98.86 - 100.0	YES	no data	Campylobacter coli; Staphylococcus pseudintermedius; Streptococcus suis	253.00	0.00	253.00	60.62	557.33	173.10	0	0	0	0	N/A	N/A		795; 1104; 807	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
vanR gene in vanC cluster	3002922	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus gallinarum	12.00	0.00	12.00	100.00	696.00	180.42	0	0	0	0	N/A	N/A		696	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
AAC(2')-Ia	3002523	protein homolog model	CARD	1	100.0	no data	no data	Providencia stuartii	3.00	0.00	3.00	4.84	26.00	38.00	0	0	0	0	N/A	N/A		537	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
vanR gene in vanG cluster	3002926	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	98.00	0.00	98.00	39.97	283.00	84.43	0	0	0	0	N/A	N/A		708	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
lmrD	3002882	protein homolog model	CARD	1	100.0	no data	no data	Lactococcus lactis	23.00	0.00	23.00	29.47	588.00	93.26	0	0	0	0	N/A	N/A		1995	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic	antibiotic efflux
APH(3'')-Ia	3002638	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces griseus	1.00	0.00	1.00	3.05	25.00	34.00	0	0	0	0	N/A	N/A		819	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
PEDO-2	3003714	protein homolog model	CARD	1	100.0	no data	no data	Pedobacter sp.	5.00	0.00	5.00	4.43	38.00	67.00	0	0	0	0	N/A	N/A		858	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation
cfr(B)	3004649	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	180.00	0.00	180.00	100.00	1050.00	184.06	0	0	0	0	N/A	N/A		1050	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic	antibiotic target alteration
efrB	3003949	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	140.00	0.00	140.00	100.00	1086.00	161.61	0	0	0	0	N/A	N/A		1086	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux
tetA(46)	3004032	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	11.00	0.00	11.00	52.17	900.00	176.82	0	0	0	0	N/A	N/A		1725	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tetA(60)	3004035	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	1.00	0.00	1.00	6.84	119.00	111.00	0	0	0	0	N/A	N/A		1740	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tetB(60)	3004036	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	1.00	0.00	1.00	6.72	117.00	91.00	0	0	0	0	N/A	N/A		1740	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tetB(46)	3004033	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	14.00	0.00	14.00	64.94	1128.00	163.14	0	0	0	0	N/A	N/A		1737	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
LAP-2	3004826	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	3.00	0.00	3.00	28.55	245.00	173.00	0	0	0	0	N/A	N/A		858	LAP beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
BES-1	3004751	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	1.00	0.00	1.00	2.62	23.00	34.00	0	0	0	0	N/A	N/A		879	BES Beta-lactamase	penicillin beta-lactam	antibiotic inactivation
