ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
IMP-33	3002224	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	27.00	0.00	27.00	11.47	85.00	55.63	0	0	0	0	N/A	N/A		741	IMP beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
tet(32)	3000196	protein homolog model	CARD; Resistomes & Variants	7	73.87 - 100.0	YES	no data	Escherichia coli; Campylobacter concisus; Enterococcus faecalis; Erysipelatoclostridium ramosum; Eubacterium limosum; Faecalibacterium prausnitzii; Roseburia hominis; Ruthenibacterium lactatiformans; Streptococcus anginosus; Streptococcus constellatus; Streptococcus intermedius; Streptococcus pneumoniae; Collinsella aerofaciens; Massilistercora timonensis; Enterocloster clostridioformis	2436.00	0.00	2436.00	52.22	987.14	154.40	0	0	0	0	N/A	N/A		1920; 1920; 1341; 1920; 1920; 1920; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(Q)	3000191	protein homolog model	CARD; Resistomes & Variants	37	30.92 - 100.0	YES	YES	Bacteroides fragilis; Anaerostipes hadrus; Bacteroides ovatus; Bacteroides thetaiotaomicron; Collinsella aerofaciens; Paeniclostridium sordellii; Phocaeicola massiliensis; Phocaeicola vulgatus; Eubacterium limosum; Enterocloster clostridioformis; Parabacteroides distasonis; Eubacterium maltosivorans; Phocaeicola dorei; Staphylococcus aureus	2959.00	0.00	2959.00	32.79	709.89	158.30	0	0	0	0	N/A	N/A		1974; 2643; 2643; 2640; 2643; 2643; 2643; 2643; 2643; 1995; 1926; 1974; 1926; 2004; 1944; 1995; 1926; 1974; 2001; 2001; 2019; 948; 1926; 1644; 1974; 1962; 2772; 2841; 2817; 2817; 1152; 903; 1962; 573; 1956; 1995; 1995	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ErmQ	3000593	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	132.00	0.00	132.00	100.00	774.00	181.42	0	0	0	0	N/A	N/A		774	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
lsaB	3003111	protein homolog model	CARD	1	100.0	no data	no data	Mammaliicoccus sciuri	6.00	0.00	6.00	18.73	277.00	76.17	0	0	0	0	N/A	N/A		1479	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
OXA-85	3001780	protein homolog model	CARD	1	100.0	no data	no data	Fusobacterium nucleatum	2.00	0.00	2.00	3.79	29.00	40.00	0	0	0	0	N/A	N/A		765	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
dfrF	3002867	protein homolog model	CARD; Resistomes & Variants	2	99.39 - 100.0	no data	no data	Enterococcus faecalis; Enterococcus faecium	252.00	0.00	252.00	94.65	468.50	151.92	0	0	0	0	N/A	N/A		495; 495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
tet(44)	3000556	protein homolog model	CARD; Resistomes & Variants	6	96.36 - 100.0	no data	no data	Campylobacter fetus; Clostridium perfringens; Streptococcus suis	87.00	0.00	87.00	17.66	338.33	154.13	0	0	0	0	N/A	N/A		1923; 1923; 1923; 1830; 1923; 1923	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
OXA-167	3001467	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	32.00	0.00	32.00	8.27	68.00	52.25	0	0	0	0	N/A	N/A		822	OXA beta-lactamase; OXA-23-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
CfxA6	3003097	protein homolog model	CARD	1	100.0	no data	no data	uncultured organism	3.00	0.00	3.00	27.11	270.00	118.33	0	0	0	0	N/A	N/A		996	CfxA beta-lactamase	cephalosporin	antibiotic inactivation
